,Name,Category,Distance,Address,Latitude,Longitude,Review_count,Rating
57,Vanille Noire,['Ice Cream & Frozen Yogurt'],188,13 rue Caisserie,43.2972984,5.36871,43,4.5
58,Le Souk,['Moroccan'],95,98 quai Port,43.29606,5.36853,25,4.0
59,Bar des 13 Coins,"['Bars', 'Cafes', 'Mediterranean']",253,45 rue Sainte-Françoise,43.299392,5.366495,36,4.0
60,Côté Rue,['French'],30,14 Rue St Pons,43.297341879079,5.3661457212746,19,4.5
61,Au Lamparo,['Mediterranean'],45,4 place de Lenche,43.29757,5.36582,44,3.5
62,César Place,"['Modern European', 'French', 'Farmers Market', 'Mediterranean']",64,21 place aux Huiles,43.29283,5.372,131,4.0
63,La Côte de Boeuf,"['Barbeque', 'Steakhouses', 'Provencal']",123,35 cours Honoré d'Estienne d'Orves,43.29227,5.37219,195,4.0
64,Nul Part Ailleurs,['Provencal'],93,18 quai Rive Neuve,43.2931621,5.3704376,145,3.5
65,Douceur Piquante,"['French', 'African']",107,17 rue de l'Eveché,43.298262,5.365831,10,4.0
66,Centre de la Vieille Charité,"['Landmarks & Historical Buildings', 'Museums']",217,2 rue de la Charité,43.30013,5.36777,47,4.5
67,Le Clan des Cigales,['Mediterranean'],257,8 rue Petit Puits,43.3000104571308,5.36852718837072,18,4.0
68,Le Taxi Brousse,"['Dance Clubs', 'African']",296,21 rue Observance,43.30096,5.3675,35,3.5
69,MuCEM,['Museums'],255,7 promenade Robert Laffont,43.296824,5.360513,70,4.0
70,Le Glacier du Roi,"['Ice Cream & Frozen Yogurt', 'Tea Rooms', 'Desserts']",277,4 place de Lenche,43.29755,5.36589,56,4.0
71,Treize en Vue,"['Bistros', 'French']",366,40 rue de Breteuil,43.28937,5.37619,45,4.5
72,La Cantine,['Mediterranean'],296,27 cours Honoré d'Estienne d'Orves,43.29244,5.37274,108,4.0
73,Bistro du Cours,['Bistros'],186,13 cours Julien,43.295178,5.383073,66,4.5
74,L'Oléas,"['Mediterranean', 'French']",228,27 cours Julien,43.29447,5.38294,54,4.0
75,La Marche à Suivre,['French'],260,12 rue Vian,43.29464,5.383689,124,4.0
76,La Table de l'Olivier,['Modern European'],502,56 Rue Mazenod,43.30466,5.36631,29,4.5
77,Le Perroquet Bleu,"['Brasseries', 'Tapas/Small Plates']",450,72 bd des Dames,43.30245,5.36955,24,3.5
78,Noodles Chôp,"['Mediterranean', 'Asian Fusion']",370,57 rue de Forbin,43.304821,5.367957,3,4.5
79,Big Fernand,['Burgers'],501,10 place de la Joliette,43.305346,5.366118,23,3.5
80,Chez Ida,"['French', 'Karaoke']",178,7 Rue Ferdinand Rey,43.2937810155134,5.38633754860625,31,4.5
81,WAAW,"['Party & Event Planning', 'Bistros']",171,17 rue Pastoret,43.2938186,5.3849285,29,4.0
82,Yoj By Yoji,['Japanese'],166,9 quai du Lazaret,43.3090467,5.3664055,12,3.5
83,Simply Food,['Fast Food'],141,35 Boulevard Dunkerque,43.30785,5.36798,12,3.0
84,Beef House,"['American', 'Barbeque', 'Burgers']",433,9 quai du Lazaret,43.306098991496,5.364997826999,33,3.0
85,Friterie Werner & Co,"['Belgian', 'Fast Food']",1030,9 Rue Guy Mocquet,43.3137,5.3795,30,4.0
86,Ambassade de Bretagne,"['Breakfast & Brunch', 'Brasseries']",388,10 place de la Joliette,43.3060246048047,5.36612899161605,10,3.5
87,BO&CO,['French'],387,232 bd de Paris,43.3155241,5.3669746,7,4.0
88,Chez Sylvie,['French'],243,84 rue de Ruffi,43.31426,5.36971,2,4.0
89,Babel Med Music,"['Festivals', 'Local Flavor', 'Music Venues']",335,12 rue Urbain V,43.31548,5.36848,7,3.5
90,Le Roy René,"['Brasseries', 'Seafood']",707,9 quai du Lazaret,43.306958,5.363688,11,3.5
91,L'Escale des Docks,['French'],273,234 Boulevard Paris,43.31584,5.36673,7,3.0
92,L'Anse du Panier,"['French', 'Bars']",33,16 rue Jean François Lecas,43.302133,5.365963,5,4.5
93,Viens Attendre,['Cafes'],295,Quai A,43.3017342,5.3805139,13,4.0
94,Frac Paca,['Museums'],32,20 bd de Dunkerque,43.30576,5.36753,5,5.0
95,Le Comptoir des Docks,['Tapas/Small Plates'],26,10 place de la Joliette,43.305619,5.365965,7,4.0
96,Panasia,['Pan Asian'],37,10 place de la Joliette,43.305445,5.365944,6,3.5
97,Be Organic - Be O,"['Vegan', 'Wine Bars', 'Delicatessen']",34,10 place de la Joliette,43.3055973,5.36605242394262,4,3.5
98,L'Ecomotive,"['Cafes', 'Shared Office Spaces']",372,2 place des Marseillaises,43.3014322,5.380514,12,4.0
99,La Cantine du Midi,['French'],770,36 rue Bernard,43.3107213,5.3871257,10,4.5
100,Rouge Belle de Mai,"['French', 'Jazz & Blues']",760,47 rue Fortuné Jourdan,43.311361,5.387022,19,4.5
101,Bar du Moulin,['Bars'],34,8 Rue Loubon,43.31123,5.37802,1,2.0
102,Le Quai Gourmand,['Mediterranean'],1341,26 Rue Mazenod,43.302727,5.365713,12,4.5
103,Hfc,['Fast Food'],32,356 métro national,43.3137703,5.3744702,4,3.5
104,Le Fournil National,['Bakeries'],33,386 bd National,43.31471,5.37307,1,3.0
105,Coco Loco,"['Burgers', 'Pizza', 'American']",635,207 boulevard de Plombières,43.318461,5.379151,14,4.0
106,Les Grandes Tables,['French'],281,41 rue Jobin,43.310342440269,5.39016813491821,58,3.5
107,Pâtisserie B et F Giner La Gourmandine,['Bakeries'],66,8 Place Bernard Cadenat,43.3118666,5.3864447,6,5.0
108,Chez Claire,['Seafood'],112,12 rue d'Orange,43.31263,5.3864,4,4.5
109,La Salle des Machines,"['Cafes', 'Bookstores', 'Sandwiches']",280,41 rue Jobin,43.3096313,5.3903298,5,3.5
110,Parc Longchamp,['Parks'],994,Boulevard Jardin Zoologique,43.304587,5.394667,22,4.0
111,Studio 37,['French'],57,37 rue Guibal,43.30753,5.3872,25,3.0
112,Greendeliss,"['Desserts', 'Salad', 'Soup']",248,11 avenue du Maréchal Foch,43.30201,5.39782,13,4.0
113,Riz D'or,['Chinese'],74,21 ave des Chartreux,43.3036385,5.3976998,21,4.5
114,La Fournée d'Inès,['Bakeries'],60,2 Boulevard Jardin Zoologique,43.30384,5.39707,25,4.0
115,Le Jardin des Arts,['French'],474,53 Rue Marx Dormoy,43.30004,5.39683,57,4.0
116,Café Zenji,"['Coffee & Tea', 'Japanese', 'Pan Asian']",628,24 rue Granoux,43.2987,5.39882,23,4.5
117,Liban Express,['Lebanese'],533,12 boulevard de Roux,43.307536,5.402811,10,4.5
118,Pavillon de Partage des Eaux,['Landmarks & Historical Buildings'],22,Avenue des Chutes Lavie,43.309154,5.396775,1,5.0
119,Coté Sud,"['French', 'Italian']",277,28 rue Maréchal Fayolle,43.30094,5.39844,46,4.5
120,Kim-Do,['Japanese'],221,4 rue Capazza,43.30087,5.40033,155,4.0
121,Subway,"['Fast Food', 'Sandwiches']",26,64 boulevard de la Blancarde,43.3027572081859,5.40046930290225,1,4.0
122,Le Citronnier,"['French', 'International', 'South African']",440,2 rue Elemir Bourges,43.2988,5.40105,15,5.0
123,Restaurant des Chutes Lavie,['French'],312,45 avenue des Chutes Lavie,43.315776,5.39864,17,4.0
124,Capo Rosso,['French'],927,30 bd Verd,43.3169975726422,5.40710806846619,14,4.0
125,Les Deux Soeurs,['Mediterranean'],381,48 rue Pautrier,43.31109,5.39326,10,3.5
126,Prinderre,['Butcher'],223,49 Boulevard Pardigon,43.311391,5.3959427,2,4.5
127,Hong-Kong  2,['Vietnamese'],39,2 Place Edmond Audran,43.30909,5.40176,4,4.0
128,Le Bistrot Marseillais,['Bistros'],15,49 bd Arras,43.30923,5.40144,5,3.5
129,Céréalia,['Bakeries'],38,7 place Edmond Audran,43.30963,5.4013799,8,3.0
130,Cérealia,['Bakeries'],34,7 Place Edmond Audran,43.309652,5.4012558,4,4.0
131,La Table de Guy Bistro Créole,"['Caribbean', 'Tapas/Small Plates']",154,145 ave des Chartreux,43.3083401,5.40016,10,3.0
132,Théâtre des Chartreux,"['Performing Arts', 'Bars', 'Music Venues']",314,105 ave des Chartreux,43.30683,5.39961,4,4.5
133,Subway,['Sandwiches'],37,62 ave de Saint-Just,43.3167970445435,5.40463521982721,1,3.0
134,Bella Italia,['Fast Food'],78,4 Boulevard Lambert,43.3166672,5.4053222,2,4.0
135,Brasserie Le Matys,"['Restaurants', 'Nightlife']",203,3 Rue Alphonse Daudet,43.3178422,5.4061173,1,4.0
136,La Cabane à Pizzas,['Pizza'],768,208 avenue Montolivet,43.31263,5.41204,5,4.5
137,C'est de Famille,"['Home Decor', 'Tea Rooms', 'Gluten-Free']",827,2 bd Dauzac,43.30913,5.40433,2,5.0
138,La Cuisine du Dôme,['Bistros'],192,3 rue Alphonse Daudet,43.3178107038846,5.4059589353499,1,3.0
139,Carry Nation,['Cocktail Bars'],177,,43.2879836595775,5.37209987640381,43,4.5
