,Name,Category,Address,review_count,rating
42,Grumpy Cakes,"[{'alias': 'tea', 'title': 'Tea Rooms'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'salad', 'title': 'Salad'}]",12 rue Corneille,35,4.5
43,Sauveur,"[{'alias': 'pizza', 'title': 'Pizza'}]",10 rue d'Aubagne,132,4.5
44,Toinou,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'seafoodmarkets', 'title': 'Seafood Markets'}]",3 cours Saint-Louis,217,3.5
45,Miramar,"[{'alias': 'seafood', 'title': 'Seafood'}]",12 quai du Port,143,3.5
46,La Kahena,"[{'alias': 'arabian', 'title': 'Arabic'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",2 rue de la République,68,3.5
47,Les Panisses,"[{'alias': 'french', 'title': 'French'}, {'alias': 'brasseries', 'title': 'Brasseries'}]",23 rue Sainte,39,4.0
48,Green Bear Coffee,"[{'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'cafes', 'title': 'Cafes'}]",17 rue Glandèves,46,4.5
49,L'Hippocampe,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",14 quai du Port,13,4.0
50,La Caravelle,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'provencal', 'title': 'Provencal'}]",34 quai du Port,262,4.0
51,Le Grain de Sable,"[{'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'french', 'title': 'French'}]",34 Rue Baignoir,47,4.5
52,Déjeuner en Ville,"[{'alias': 'bistros', 'title': 'Bistros'}]",5 rue de la République,21,4.5
53,Sauveur,"[{'alias': 'pizza', 'title': 'Pizza'}]",10 rue d'Aubagne,132,4.5
54,La Kahena,"[{'alias': 'arabian', 'title': 'Arabic'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",2 rue de la République,68,3.5
55,Le Cercle Rouge,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'corsican', 'title': 'Corsican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",41 rue Adolphe Thiers,65,4.5
56,Une Table au Sud,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}]",1 Rue République,48,4.0
57,Miramar,"[{'alias': 'seafood', 'title': 'Seafood'}]",12 quai du Port,143,3.5
58,Starbucks,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",17 Rue République,61,3.5
59,Toinou,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'seafoodmarkets', 'title': 'Seafood Markets'}]",3 cours Saint-Louis,217,3.5
60,Sauveur,"[{'alias': 'pizza', 'title': 'Pizza'}]",10 rue d'Aubagne,132,4.5
61,Toinou,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'seafoodmarkets', 'title': 'Seafood Markets'}]",3 cours Saint-Louis,217,3.5
62,La Caravelle,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'provencal', 'title': 'Provencal'}]",34 quai du Port,262,4.0
63,Le Grain de Sable,"[{'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'french', 'title': 'French'}]",34 Rue Baignoir,47,4.5
64,La Kahena,"[{'alias': 'arabian', 'title': 'Arabic'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",2 rue de la République,68,3.5
65,Une Table au Sud,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}]",1 Rue République,48,4.0
66,Le Massilia Café,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'sud_ouest', 'title': 'French Southwest'}]",33 Rue Reine Elisabeth,16,4.0
67,Déjeuner en Ville,"[{'alias': 'bistros', 'title': 'Bistros'}]",5 rue de la République,21,4.5
68,L'Hippocampe,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",14 quai du Port,13,4.0
69,Miramar,"[{'alias': 'seafood', 'title': 'Seafood'}]",12 quai du Port,143,3.5
70,Sauveur,"[{'alias': 'pizza', 'title': 'Pizza'}]",10 rue d'Aubagne,132,4.5
71,Le Petit Flore,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'french', 'title': 'French'}]",14 rue Corneille,24,5.0
72,Grumpy Cakes,"[{'alias': 'tea', 'title': 'Tea Rooms'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'salad', 'title': 'Salad'}]",12 rue Corneille,35,4.5
73,Les Panisses,"[{'alias': 'french', 'title': 'French'}, {'alias': 'brasseries', 'title': 'Brasseries'}]",23 rue Sainte,39,4.0
74,Le Café de la Banque,"[{'alias': 'brasseries', 'title': 'Brasseries'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",24 bd Paul Peytral,65,4.5
75,Toinou,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'seafoodmarkets', 'title': 'Seafood Markets'}]",3 cours Saint-Louis,217,3.5
76,Le Grand Latin,"[{'alias': 'italian', 'title': 'Italian'}]",27 rue Sainte,179,4.0
77,Le Bistrot à Vin,"[{'alias': 'bistros', 'title': 'Bistros'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",17 rue Sainte,76,4.0
78,La Caravelle,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'provencal', 'title': 'Provencal'}]",34 quai du Port,262,4.0
79,Le Corto,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'french', 'title': 'French'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",24 place Notre-Dame du Mont,65,4.5
80,La Cantine de Nour d'Egypte,"[{'alias': 'egyptian', 'title': 'Egyptian'}]",10 rue Bernex,23,4.5
81,Le Cercle Rouge,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'corsican', 'title': 'Corsican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",41 rue Adolphe Thiers,65,4.5
82,Sauveur,"[{'alias': 'pizza', 'title': 'Pizza'}]",10 rue d'Aubagne,132,4.5
83,Pouce,"[{'alias': 'tea', 'title': 'Tea Rooms'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",95 bd Longchamp,15,4.0
84,Teavora,"[{'alias': 'tea', 'title': 'Tea Rooms'}, {'alias': 'shopping', 'title': 'Shopping'}, {'alias': 'restaurants', 'title': 'Restaurants'}]",65 boulevard Longchamp,97,4.0
85,Le Débouché,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'french', 'title': 'French'}]",3 bd National,20,4.5
86,Palais Longchamp,"[{'alias': 'museums', 'title': 'Museums'}]",Place Henri Dunant,81,4.5
87,Longchamp Palace,"[{'alias': 'brasseries', 'title': 'Brasseries'}, {'alias': 'bistros', 'title': 'Bistros'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",22 bd Longchamp,54,3.5
88,Le Grain de Sable,"[{'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'french', 'title': 'French'}]",34 Rue Baignoir,47,4.5
89,La Table Cinq,"[{'alias': 'french', 'title': 'French'}]",8 avenue des Chartreux,45,4.5
90,La Cantine de Nour d'Egypte,"[{'alias': 'egyptian', 'title': 'Egyptian'}]",10 rue Bernex,23,4.5
91,Le Cercle Rouge,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'corsican', 'title': 'Corsican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",41 rue Adolphe Thiers,65,4.5
92,Palais Longchamp,"[{'alias': 'museums', 'title': 'Museums'}]",Place Henri Dunant,81,4.5
93,Pouce,"[{'alias': 'tea', 'title': 'Tea Rooms'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",95 bd Longchamp,15,4.0
94,La Table Cinq,"[{'alias': 'french', 'title': 'French'}]",8 avenue des Chartreux,45,4.5
95,Casa No Name,"[{'alias': 'french', 'title': 'French'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",7 rue André Poggioli,30,4.5
96,Café Vian,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'provencal', 'title': 'Provencal'}, {'alias': 'bbq', 'title': 'Barbeque'}]",12 rue Vian,119,4.5
97,Teavora,"[{'alias': 'tea', 'title': 'Tea Rooms'}, {'alias': 'shopping', 'title': 'Shopping'}, {'alias': 'restaurants', 'title': 'Restaurants'}]",65 boulevard Longchamp,97,4.0
98,Ummagumma,"[{'alias': 'french', 'title': 'French'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",26 rue des Trois Rois,78,4.5
99,Le Phénicia,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}]",187 bd de la Libération,40,4.0
100,Basilique Notre-Dame de la Garde,"[{'alias': 'churches', 'title': 'Churches'}, {'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",Rue Fort du Sanctuaire,197,4.5
101,Le Petit Nice Passedat,"[{'alias': 'french', 'title': 'French'}, {'alias': 'seafood', 'title': 'Seafood'}]",17 rue des Braves,154,4.0
102,Corniche Kennedy,"[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}, {'alias': 'hiking', 'title': 'Hiking'}]",Corniche John Fitzgerald,29,4.5
103,Le Sunset,"[{'alias': 'brasseries', 'title': 'Brasseries'}, {'alias': 'bistros', 'title': 'Bistros'}]",315 corniche Kennedy,8,4.0
104,L'Epuisette,"[{'alias': 'french', 'title': 'French'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",156 Rue Vallon Des Auffes,145,4.5
105,L'Eau à la Bouche,"[{'alias': 'pizza', 'title': 'Pizza'}]",120 corniche du Président Kennedy,52,4.0
106,Zia Concetta,"[{'alias': 'trattorie', 'title': 'Trattorie'}, {'alias': 'importedfood', 'title': 'Imported Food'}]",315 corniche Kennedy,7,3.5
107,Le Parc Valmer,"[{'alias': 'parks', 'title': 'Parks'}]",275 corniche John Fitzerald Kennedy,19,4.5
108,Le Comptoir Marseillais,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",5 Promenade Georges Pompidou,59,3.5
