,name,Latitude,Longitude,Empty Slots,free_bikes,timestamp
58,Place Placide Caffo,43.3135706,5.3848289,,1,2023-10-30T03:33:01.536000Z
59,Briffaut Camas,43.29431413,5.397498439,,3,2023-10-30T03:33:01.545000Z
60,Belle vue,43.315289087463555,5.38034926547175,,1,2023-10-30T03:33:01.546000Z
61,Baille - Hôpital Conception,43.28936349,5.396322259,,0,2023-10-30T03:33:01.547000Z
62,Pierre Roux,43.28572971621563,5.394991516440086,,0,2023-10-30T03:33:01.550000Z
63,Auphan - Vaillant,43.31707549,5.377366738,,1,2023-10-30T03:33:01.551000Z
64,Foch - Fayolle,43.30111738,5.398795435,,0,2023-10-30T03:33:01.577000Z
65,Chave - Sakakini,43.29571281,5.399639378,,0,2023-10-30T03:33:01.587000Z
66,Jean Moulin - Hôpital La Timone,43.290412249633505,5.399632919528813,,2,2023-10-30T03:33:01.588000Z
67,Sakakini - Saint-Pierre,43.29272355,5.401130777,,0,2023-10-30T03:33:01.590000Z
68,Jean Moulin - Sainte Baume,43.28715402,5.39997873,,4,2023-10-30T03:33:01.614000Z
69,Duparc - Brossolette,43.30641234314123,5.40103548654406,,7,2023-10-30T03:33:01.636000Z
70,Bon Secours - Huilerie,43.319935427116775,5.381699103765641,,2,2023-10-30T03:33:01.639000Z
71,Reboul - Argile,43.28078426,5.396621812,,2,2023-10-30T03:33:01.645000Z
72,Sainte-Marthe - Glacière,43.31755747,5.390173087,,4,2023-10-30T03:33:01.669000Z
73,Blancarde - Gare SNCF,43.29626348,5.406009668,,3,2023-10-30T03:33:01.701000Z
74,Place Pol Lapeyre,43.2925709464964,5.40910662501517,,7,2023-10-30T03:33:01.780000Z
75,Sainte-Marthe - Moretti,43.32366978,5.38883641,,3,2023-10-30T03:33:01.782000Z
76,Saint-Barnabé - Haguenau,43.30418846,5.412903941,,0,2023-10-30T03:33:01.810000Z
77,Place Caire,43.30383732,5.41872428,,0,2023-10-30T03:33:01.893000Z
78,Pierre Paraf,43.33044176,5.38914807,,4,2023-10-30T03:33:01.913000Z
79,Augustin Aubert,43.26795854639917,5.402685214151916,,1,2023-10-30T03:33:01.939000Z
80,Parc Corot,43.32346361240647,5.406297409546596,,5,2023-10-30T03:33:01.961000Z
81,Pont de Vivaux,43.2799602511721,5.416624366102042,,2,2023-10-30T03:33:01.978000Z
82,La Boiseraie,43.29552256279197,5.422926314883398,,2,2023-10-30T03:33:01.992000Z
83,Malpassé Métro,43.32004537625261,5.4150457738032864,,0,2023-10-30T03:33:02.020000Z
84,La Fourragère,43.30409626543968,5.425385468108061,,0,2023-10-30T03:33:02.030000Z
85,Saint-Paul - Malpassé,43.32660541953149,5.409903287927591,,0,2023-10-30T03:33:02.061000Z
86,Bois Luzy,43.31078482,5.42430547,,2,2023-10-30T03:33:02.072000Z
87,Lavéran - Diderot,43.3252329242701,5.4143178006645485,,2,2023-10-30T03:33:02.113000Z
88,Montolivet,43.31712055,5.423936023,,0,2023-10-30T03:33:02.141000Z
89,Saint-Jean du Désert,43.29876838180914,5.436430475000634,,2,2023-10-30T03:33:02.249000Z
90,Faculté - Saint-Jerôme,43.33611966260352,5.410320835259142,,3,2023-10-30T03:33:02.356000Z
